Date,Open,High,Low,Close,Adj Close,Volume
1973-05-02,0.000000,2.000000,1.966146,2.000000,0.470298,672000
1973-05-03,0.000000,2.013021,1.953125,2.005208,0.471523,739200
1973-05-04,0.000000,2.028646,1.989583,2.000000,0.470298,1339200
1973-05-07,0.000000,2.015625,1.984375,1.989583,0.467849,316800
1973-05-08,0.000000,1.989583,1.947917,1.986979,0.467236,619200
1973-05-09,0.000000,2.000000,1.979167,1.979167,0.465399,508800
1973-05-10,0.000000,1.989583,1.971354,1.979167,0.465399,307200
1973-05-11,0.000000,1.989583,1.973958,1.979167,0.465399,451200
1973-05-14,0.000000,1.984375,1.950521,1.950521,0.458663,657600
1973-05-15,0.000000,1.968750,1.942708,1.958333,0.460500,830400
1973-05-16,0.000000,1.973958,1.942708,1.958333,0.460500,331200
1973-05-17,0.000000,1.958333,1.942708,1.942708,0.456826,619200
1973-05-18,0.000000,1.932292,1.906250,1.908854,0.448865,604800
1973-05-21,0.000000,1.895833,1.867188,1.875000,0.440904,1022400
1973-05-22,0.000000,1.906250,1.885417,1.893229,0.445191,1099200
1973-05-23,0.000000,1.880208,1.869792,1.875000,0.440904,768000
1973-05-24,0.000000,1.843750,1.807292,1.825521,0.429269,1483200
1973-05-25,0.000000,1.843750,1.768229,1.838542,0.432331,3124800
1973-05-29,0.000000,1.859375,1.828125,1.841146,0.432944,1756800
1973-05-30,0.000000,1.843750,1.804688,1.820313,0.428045,2478400
1973-05-31,0.000000,1.820313,1.781250,1.789063,0.420697,3008000
1973-06-01,0.000000,1.750000,1.718750,1.742188,0.409674,800000
1973-06-04,0.000000,1.710938,1.664063,1.664063,0.391303,531200
1973-06-05,0.000000,1.695313,1.578125,1.617188,0.380280,1417600
1973-06-06,0.000000,1.640625,1.476563,1.539063,0.361909,2070400
1973-06-07,0.000000,1.695313,1.531250,1.601563,0.376606,2363200
1973-06-08,0.000000,1.742188,1.632813,1.718750,0.404162,1230400
1973-06-11,0.000000,1.734375,1.703125,1.726563,0.406000,576000
1973-06-12,0.000000,1.812500,1.750000,1.796875,0.422533,857600
1973-06-13,0.000000,1.828125,1.750000,1.765625,0.415185,876800
1973-06-14,0.000000,1.773438,1.718750,1.734375,0.407837,1216000
1973-06-15,0.000000,1.726563,1.632813,1.632813,0.383954,465600
1973-06-18,0.000000,1.656250,1.625000,1.640625,0.385792,457600
1973-06-19,0.000000,1.734375,1.656250,1.734375,0.407837,566400
1973-06-20,0.000000,1.812500,1.757813,1.789063,0.420697,944000
1973-06-21,0.000000,1.796875,1.757813,1.757813,0.413348,681600
1973-06-22,0.000000,1.867188,1.757813,1.757813,0.413348,926400
1973-06-25,0.000000,1.750000,1.656250,1.664063,0.391303,523200
1973-06-26,0.000000,1.687500,1.640625,1.687500,0.396814,380800
1973-06-27,0.000000,1.710938,1.679688,1.703125,0.400488,316800
1973-06-28,0.000000,1.734375,1.695313,1.726563,0.406000,380800
1973-06-29,0.000000,1.750000,1.718750,1.750000,0.411511,524800
1973-07-02,0.000000,1.742188,1.703125,1.703125,0.400488,360000
1973-07-03,0.000000,1.703125,1.656250,1.656250,0.389466,699200
1973-07-05,0.000000,1.703125,1.648438,1.687500,0.396814,345600
1973-07-06,0.000000,1.710938,1.679688,1.687500,0.396814,244800
1973-07-09,0.000000,1.726563,1.687500,1.726563,0.406000,313600
1973-07-10,0.000000,1.750000,1.726563,1.734375,0.407837,660800
1973-07-11,0.000000,1.851563,1.742188,1.851563,0.435394,689600
1973-07-12,0.000000,1.960938,1.828125,1.960938,0.461113,1675200
1973-07-13,0.000000,1.937500,1.882813,1.906250,0.448253,936000
1973-07-16,0.000000,1.984375,1.851563,1.984375,0.466624,1004800
1973-07-17,0.000000,2.023438,1.976563,2.007813,0.472135,961600
1973-07-18,0.000000,2.031250,1.976563,2.023438,0.475810,1099200
1973-07-19,0.000000,2.031250,1.992188,2.000000,0.472268,1190400
1973-07-20,0.000000,2.054688,2.000000,2.046875,0.483337,2331200
1973-07-23,0.000000,2.085938,2.054688,2.078125,0.490716,1499200
1973-07-24,0.000000,2.085938,2.031250,2.078125,0.490716,1316800
